age,income,loan_amount,credit_score,employment_years,default
57,33395,46448,666,26,0
44,105957,7204,612,5,0
49,141237,32233,837,22,0
51,76273,26729,353,15,0
55,147431,36131,840,16,0
53,111878,38870,766,18,0
41,24895,43011,463,2,1
52,139968,44382,633,17,0
43,135700,46475,846,6,0
53,96559,26607,647,8,0
23,30699,29968,572,19,0
38,85061,38398,713,11,0
45,29715,16908,799,4,0
62,39169,31423,392,2,1
51,145436,48615,378,10,1
23,138413,14171,516,24,0
60,36163,17721,657,29,0
44,139264,21616,806,3,0
52,25782,47512,480,4,1
42,108177,43458,545,0,1
43,149772,12659,543,26,0
22,144481,48369,805,27,0
47,104328,16704,721,28,0
62,135028,37793,619,17,0
22,55585,36226,386,11,1
46,50682,28852,516,12,0
37,67864,37082,789,8,0
60,149992,27794,818,1,0
53,104416,46420,577,4,1
29,75114,18379,468,12,0
63,147810,12006,629,15,0
59,58067,13682,740,15,0
49,62685,38840,690,23,0
62,142262,37430,795,2,0
46,38073,28091,680,21,0
55,56035,37983,605,3,0
45,84977,28989,812,10,0
44,122710,14915,487,22,0
33,110373,47552,815,25,0
27,103362,23990,726,13,0
56,110517,29734,801,28,0
40,85450,19824,559,2,0
21,30382,41081,812,15,0
28,24437,16033,370,21,0
36,90971,47736,777,14,0
34,84612,21241,477,27,0
32,110355,10939,756,9,0
43,81929,40063,488,8,1
35,122411,39464,590,10,1
48,117518,16185,819,15,0
54,118864,32045,591,9,1
22,32329,49769,582,16,1
52,145605,24167,843,18,0
43,45169,41412,676,1,0
42,107468,26625,455,23,0
45,54594,44188,807,22,0
42,96957,32076,712,1,0
42,80631,49605,827,5,0
62,65033,24029,654,18,0
26,83133,27973,486,7,0
35,93165,44121,330,25,1
63,93861,36433,559,28,1
57,72290,48309,720,2,0
53,114031,6932,828,25,0
28,51750,49254,603,13,0
64,115155,6757,338,24,0
64,60461,35722,788,15,0
25,93800,42853,841,0,0
59,98222,43405,577,20,1
24,132020,6116,502,2,0
26,44226,48527,365,21,1
52,26721,16691,407,25,0
50,76154,5492,567,17,0
55,40609,32882,521,8,1
60,72130,13811,829,5,0
36,92909,32808,389,22,1
33,124211,29272,554,20,0
62,75249,33399,754,24,0
50,68895,11474,552,0,0
39,114473,31956,556,20,1
37,25656,47506,682,26,0
39,144865,18979,741,9,0
48,94520,49523,389,26,1
46,83740,47565,689,5,0
57,84309,33328,343,22,1
46,49984,17867,318,11,0
43,138947,30851,400,3,1
29,93822,36279,656,27,0
32,25901,35527,841,12,0
21,51552,12866,332,16,0
21,111245,20449,528,26,0
54,51055,15685,823,7,0
52,57685,28544,454,25,0
45,93965,10451,722,19,0
60,34716,26642,545,2,0
21,134099,46316,704,11,0
36,31138,44954,840,6,0
59,55298,43870,460,11,1
25,71112,36030,416,1,1
42,43429,35873,570,23,1
49,70200,5619,786,13,0
23,91308,38650,471,21,1
32,68244,30372,573,22,1
46,137217,8642,558,29,0
36,134055,33001,434,4,1
57,121268,39064,721,8,0
42,125441,34290,720,20,0
49,37347,19122,485,10,0
34,36920,29820,663,4,0
48,51822,7895,677,2,0
25,66659,10366,822,26,0
50,60108,13711,495,16,0
25,148955,24596,397,1,0
32,109099,23793,321,23,0
36,27967,13199,749,0,0
46,130719,15717,471,6,0
46,31871,41191,682,29,0
41,114299,15211,433,13,0
59,97452,28360,725,4,0
56,94270,26542,324,18,0
53,53613,36312,802,27,0
50,48179,41435,484,27,1
57,140465,33247,384,10,1
43,72188,27357,443,22,0
30,75099,46045,711,24,0
25,55262,32691,523,1,1
56,98213,17424,519,7,0
54,137407,23852,478,8,0
51,38268,27601,732,26,0
30,97866,23020,564,2,0
39,106269,13155,728,1,0
52,80545,8583,715,6,0
21,123483,20515,752,4,0
25,112822,41777,496,20,1
24,92146,24710,352,25,0
36,91966,48178,779,4,0
44,59922,29532,742,19,0
36,99364,23601,629,12,0
22,62913,9967,550,20,0
48,117033,23753,422,28,0
52,124792,25022,686,19,0
47,139425,48463,638,28,0
40,75677,14135,647,5,0
44,122154,10722,328,19,0
32,69841,32413,334,17,1
55,66332,32236,817,24,0
53,112062,20514,695,1,0
53,139863,48896,593,24,1
63,115694,42212,648,25,0
57,45032,45386,446,5,1
32,57846,25331,366,8,0
23,79474,23060,819,24,0
21,64936,6196,421,2,0
53,49794,17297,639,0,0
60,81588,7787,474,0,0
30,90984,28816,750,18,0
63,70331,45695,435,4,1
64,114397,24702,315,12,0
49,48141,30242,632,18,0
33,29074,7176,494,11,0
32,26406,25127,795,15,0
51,117359,46560,308,24,1
22,143279,32228,633,24,0
55,43291,25208,632,18,0
43,61568,33482,626,2,0
37,117539,14171,314,11,0
46,66851,40219,525,29,1
28,119942,38396,724,4,0
49,74823,47589,707,1,0
46,43312,45546,412,21,1
30,63108,8696,727,6,0
46,86918,25058,300,12,0
54,54171,25313,565,24,0
61,61779,24149,790,14,0
27,88828,46075,507,21,1
24,127315,9956,668,2,0
31,118723,15195,605,27,0
49,32411,22076,311,20,0
56,122821,6105,644,19,0
45,137990,20417,764,4,0
41,77009,29729,793,23,0
56,35422,35099,667,7,0
30,62468,37598,719,21,0
57,52371,34961,470,0,1
29,77022,17602,433,7,0
44,91229,14256,726,23,0
55,119071,25584,324,17,0
55,71196,39681,829,19,0
56,100354,30792,489,27,1
38,116774,26904,440,15,0
59,116410,48361,614,17,0
52,46715,39540,743,19,0
44,47605,31536,618,11,0
43,119853,24164,740,12,0
52,51174,17996,391,12,0
57,29956,7871,478,9,0
32,124444,27626,355,6,0
33,96373,15521,454,24,0
43,89252,48410,410,13,1
45,81949,6132,436,29,0
55,82646,38467,531,23,1
61,90017,19534,767,15,0
50,83037,28854,780,14,0
37,109818,47998,367,11,1
40,26548,44065,548,8,1
45,136981,12812,622,7,0
42,123141,9557,817,17,0
33,93294,7179,731,22,0
39,129204,48798,786,17,0
56,43177,14065,728,12,0
32,44022,13275,568,27,0
61,126297,40948,836,26,0
39,140695,25700,447,17,0
32,25542,44464,417,14,1
29,111012,47351,666,3,0
27,116320,32794,365,16,1
48,80428,33783,669,4,0
34,42740,21998,474,21,0
51,79353,18869,794,15,0
39,110353,49525,413,8,1
36,133132,33152,410,9,1
25,76532,25954,738,23,0
55,36052,36555,446,17,1
32,120689,21654,334,16,0
45,67076,40236,608,17,0
41,73420,20042,837,6,0
56,20671,30966,313,3,1
43,20163,49314,673,25,0
36,61424,19270,727,4,0
59,129538,35908,532,27,1
62,73744,20523,739,22,0
59,90331,24991,801,15,0
34,30634,15775,574,2,0
51,24798,17265,375,25,0
25,42420,24459,738,17,0
55,137043,21673,588,28,0
43,140575,32056,839,22,0
49,147158,11614,552,20,0
63,49300,41020,425,13,1
31,109881,12415,476,14,0
38,30749,28155,336,16,0
32,124131,48884,709,0,0
29,45121,21964,426,24,0
30,148563,42726,782,20,0
64,57487,42044,467,16,1
37,113947,42544,593,22,1
58,53361,37252,642,24,0
27,41223,8832,609,10,0
33,92930,30275,827,16,0
60,34056,19901,839,25,0
62,48380,43213,718,13,0
29,46035,39148,743,28,0
47,50620,47633,535,19,1
22,39877,27918,738,29,0
25,145481,24540,513,18,0
49,75316,16580,384,20,0
57,84041,43402,384,6,1
58,128940,43578,788,23,0
39,137360,29917,364,12,0
28,73352,27318,363,17,0
21,50911,15179,642,22,0
42,52784,17251,651,29,0
37,23191,24493,457,13,0
27,53160,25466,790,0,0
45,110536,35206,762,6,0
24,124576,24624,524,7,0
56,84641,31564,612,17,0
26,69723,27412,765,8,0
51,23631,32990,387,0,1
39,26172,40517,602,28,0
64,62080,18156,734,21,0
59,109097,28064,434,16,0
47,110353,30711,349,18,1
30,40281,35106,731,26,0
46,48671,21589,639,5,0
39,142811,28736,646,2,0
59,71431,25975,646,23,0
23,110900,41218,544,4,1
33,142139,12214,408,1,0
48,127210,35581,832,19,0
40,147734,25195,389,24,0
48,112961,49582,595,3,1
28,135463,32127,411,9,1
61,48602,10141,476,9,0
59,108789,33884,642,23,0
21,71399,29885,400,20,0
23,43472,7708,700,10,0
33,69230,23375,327,26,0
48,93616,20088,836,15,0
45,27099,49602,357,25,1
53,138614,15014,797,28,0
58,45431,8273,596,28,0
26,76492,42306,433,29,1
64,116722,35881,630,16,0
52,67684,36486,548,15,1
41,50111,17541,849,6,0
36,125387,13712,374,15,0
41,83936,14168,467,2,0
31,42614,8551,802,25,0
57,112260,17297,654,15,0
56,61991,48733,524,7,1
55,90476,32128,830,29,0
39,137959,7832,445,11,0
40,80920,33483,540,2,1
38,114294,27063,643,16,0
61,83530,27963,334,20,0
34,56224,18422,300,17,0
35,27788,37920,452,10,1
51,48082,16156,728,3,0
21,143287,16108,807,15,0
23,109570,36845,425,16,1
36,121015,7800,790,8,0
43,96816,43078,781,5,0
31,103588,47712,644,23,0
32,36531,7610,520,26,0
30,108340,17067,324,19,0
52,114439,38872,827,24,0
36,64857,15728,481,1,0
28,30142,34566,798,8,0
58,135053,34783,341,27,1
32,68355,25583,780,20,0
44,29866,25238,738,28,0
48,90067,12263,701,5,0
28,130990,6914,845,2,0
48,123634,28749,644,19,0
56,123814,24456,344,5,0
46,145426,30582,320,6,1
28,84027,5406,369,0,0
48,77906,18689,347,22,0
48,48138,37934,790,0,0
57,112601,38276,586,4,1
61,49956,41432,309,5,1
56,127268,24873,841,12,0
47,124797,18050,573,1,0
37,144917,5680,680,14,0
29,146303,23908,628,14,0
53,96295,23504,778,12,0
40,25439,26644,314,25,0
33,67241,42125,815,24,0
48,62533,6363,490,13,0
49,48270,47291,467,25,1
33,98815,40060,820,21,0
55,59279,6538,436,6,0
26,129787,41176,453,13,1
38,43888,46520,687,25,0
25,37630,30675,508,23,1
45,81063,23287,571,26,0
22,138527,5174,442,28,0
30,143239,31732,368,9,1
50,147896,39998,546,16,1
25,55144,42055,560,13,1
53,72161,17112,378,7,0
21,116718,44874,824,3,0
38,145873,14689,629,25,0
52,111074,49814,488,15,1
31,97360,24555,394,23,0
41,70979,38919,307,12,1
46,117661,12619,366,21,0
45,26979,11033,795,26,0
42,46189,46328,490,24,1
47,62600,9946,665,26,0
33,79560,29618,820,19,0
53,98040,39675,416,17,1
54,143257,41258,566,13,1
61,81558,23919,784,17,0
55,106205,9173,808,4,0
21,26910,48833,597,25,1
41,77713,31400,463,8,1
26,66857,9769,675,27,0
48,54964,42564,567,2,1
37,105667,19211,848,7,0
25,45227,28255,373,19,0
51,25978,32962,807,21,0
25,107527,24356,372,9,0
58,37153,25306,607,21,0
23,79765,9997,498,18,0
43,119084,22376,429,29,0
57,128212,45880,786,20,0
57,59071,43055,450,27,1
30,132990,15578,505,2,0
30,89519,23624,478,10,0
39,29503,44194,496,10,1
37,80703,49367,388,16,1
41,84379,5389,733,15,0
34,115457,38767,482,6,1
29,77866,6855,508,3,0
21,36905,45893,792,29,0
33,65838,18794,429,22,0
24,145200,40531,312,18,1
21,78279,9986,405,11,0
60,109489,37298,674,14,0
52,46806,6481,398,10,0
54,65000,8731,491,4,0
48,42168,21835,624,4,0
51,90119,32798,766,14,0
28,58714,31113,666,28,0
59,74093,24477,617,17,0
46,75419,22266,443,10,0
54,69145,25792,683,25,0
23,125432,25452,515,11,0
32,97425,48526,660,1,0
21,112949,46334,623,19,0
64,97811,16889,314,14,0
25,22461,29335,516,19,0
50,34291,16254,791,3,0
50,66804,26074,846,21,0
37,96971,16442,482,17,0
43,113471,42327,569,5,1
35,84946,21199,766,22,0
57,118989,12291,818,26,0
41,104080,45928,841,25,0
34,141719,5112,766,18,0
22,81332,26515,604,10,0
31,97794,24581,443,27,0
59,50841,31500,410,23,1
58,144447,37026,531,1,1
54,140029,21523,799,26,0
58,68758,6424,572,7,0
54,134726,24552,472,28,0
38,96272,15808,306,10,0
50,57643,43811,454,4,1
35,70408,11989,821,17,0
47,63950,28620,845,22,0
54,76849,44029,847,29,0
58,120500,5887,817,17,0
53,48044,36802,514,13,1
44,125469,24488,433,21,0
35,145588,35013,584,9,1
50,35997,21402,425,2,0
62,99751,26205,738,8,0
37,118605,31049,451,2,1
25,43911,17253,630,10,0
49,75533,23990,837,11,0
24,102566,12846,682,11,0
30,114870,30027,414,2,1
37,34571,44200,781,20,0
30,128255,8765,583,6,0
37,149226,20950,374,13,0
40,114463,14741,465,23,0
44,77941,27742,488,27,0
25,78005,29703,377,10,0
54,106250,43709,320,6,1
26,78712,42623,483,24,1
22,63541,27931,521,20,0
33,43387,28580,627,9,0
63,113980,20166,478,10,0
63,68908,34240,411,14,1
31,105457,30991,358,18,1
43,33057,43556,626,15,0
36,84028,37969,490,21,1
51,130804,15561,499,20,0
31,139246,21901,611,27,0
36,75731,45505,334,19,1
28,44858,35020,678,11,0
24,68689,30917,686,17,0
60,64638,6988,536,22,0
24,111598,49505,818,12,0
45,122386,19256,582,4,0
23,66486,27192,300,3,0
52,40567,33230,763,27,0
23,49739,44930,529,13,1
47,77804,27625,471,7,0
49,128821,37088,386,8,1
52,23754,19114,422,24,0
39,47044,46167,597,18,1
41,87260,43401,783,2,0
25,86912,10755,464,4,0
38,145623,15825,682,20,0
48,28706,27693,508,25,0
62,28894,9117,731,17,0
42,38037,29729,688,0,0
41,103986,37182,523,7,1
26,101942,33890,302,18,1
21,71612,34340,671,16,0
25,49725,6518,745,16,0
61,25926,35949,415,10,1
32,124555,27547,569,1,0
46,29496,21346,746,5,0
54,76447,7600,667,21,0
34,121604,34267,552,13,1
46,49806,41322,616,2,0
47,108199,31990,714,11,0
29,61321,21193,394,3,0
46,142041,35109,323,11,1
42,122031,24233,349,12,0
50,85095,21194,801,1,0
63,42656,39510,797,1,0
37,75147,6306,634,14,0
46,111396,8849,378,22,0
56,69666,17360,326,28,0
21,102368,34231,570,16,1
28,58787,41963,546,6,1
55,133767,23689,686,29,0
35,82946,34084,660,27,0
42,41727,45387,787,13,0
34,128351,14280,651,11,0
46,115081,7642,555,29,0
48,142721,47137,521,16,1
43,130058,19296,300,13,0
34,88056,20438,845,5,0
44,23081,42525,745,18,0
22,54196,7994,378,23,0
46,56735,39039,535,5,1
34,124749,6813,633,26,0
27,100102,32491,648,17,0
23,99578,23845,397,23,0
43,45498,46243,381,4,1
63,96865,42164,801,23,0
38,51656,47051,776,23,0
58,87695,18318,849,5,0
55,57900,22200,313,1,0
35,148392,5082,691,7,0
45,137235,6920,646,14,0
57,104899,45585,609,14,0
48,67701,16683,685,10,0
30,128777,16336,508,21,0
59,39033,20596,656,21,0
37,143193,7093,393,23,0
59,30805,17905,392,0,0
42,55851,29351,639,17,0
46,46832,35981,744,11,0
64,83437,13367,321,11,0
45,135725,10285,590,24,0
37,33944,48664,784,10,0
33,39873,42705,605,27,0
40,60372,21753,427,7,0
45,109464,23485,572,27,0
24,35379,17977,741,6,0
30,137322,24874,802,22,0
23,56751,12674,429,20,0
61,120082,34038,431,1,1
38,109822,34315,781,10,0
56,25110,8676,689,21,0
42,74341,7426,624,9,0
54,32087,29473,368,2,0
28,43762,7962,747,19,0
60,135812,34943,827,28,0
64,102617,5859,464,9,0
39,120483,49816,787,27,0
62,29596,9138,725,26,0
61,123555,40192,564,17,1
57,127539,30640,641,13,0
26,38313,15409,577,17,0
46,133175,9017,738,27,0
54,86549,15451,456,23,0
26,134914,33327,721,7,0
57,43705,15278,550,9,0
53,87364,29944,829,21,0
42,93445,48764,626,12,0
41,123892,6134,396,20,0
26,98645,35131,812,7,0
26,22023,42887,515,3,1
24,139654,43462,431,26,1
50,79796,27520,559,3,0
31,100073,26869,424,4,0
50,112197,41932,381,0,1
51,84429,10039,582,16,0
44,124195,26281,358,1,0
29,81627,15442,843,29,0
23,53848,13252,460,7,0
51,57804,32586,583,6,1
60,35379,22568,405,14,0
57,79664,25810,404,25,0
56,47766,6551,738,24,0
44,129126,17625,527,4,0
51,88099,39397,617,1,0
26,56060,31249,763,6,0
22,114733,6361,771,7,0
40,89122,31149,355,27,1
48,36087,9370,312,6,0
31,68868,10283,739,29,0
24,139119,12610,317,6,0
35,43225,48326,412,27,1
26,115286,19924,528,13,0
50,26643,49717,470,20,1
58,113059,15626,594,17,0
22,56727,39761,488,5,1
35,31005,5869,725,3,0
31,129079,36552,378,9,1
28,85697,6014,481,17,0
46,36029,15103,798,11,0
64,135281,21986,370,15,0
25,34226,49781,547,24,1
26,83646,35471,445,6,1
46,80603,38458,595,5,1
24,48731,30069,769,27,0
39,129458,21873,805,4,0
40,130384,28248,492,2,0
53,88926,28624,367,11,0
40,25997,48516,793,14,0
32,75506,34061,351,9,1
21,98229,29170,662,25,0
46,69815,13024,773,19,0
34,62092,21678,820,18,0
58,82539,43256,730,15,0
57,86077,25411,597,27,0
31,41817,48803,734,10,0
56,57861,24296,497,7,0
33,33428,31293,427,2,1
63,63934,32172,831,22,0
23,135555,26128,710,6,0
53,134367,23257,364,22,0
26,30258,17855,540,28,0
30,77775,24642,668,6,0
25,101580,40585,835,13,0
43,114947,25025,683,1,0
30,25469,9458,730,9,0
64,48854,10307,382,18,0
22,26256,46701,585,25,1
33,144086,23425,833,8,0
60,96256,48427,758,15,0
22,53937,33273,511,18,1
40,119134,43506,425,17,1
21,21651,10668,712,8,0
57,70288,30934,798,15,0
29,104730,12697,724,12,0
37,45051,29417,842,9,0
29,47386,21446,457,24,0
31,95054,45597,411,19,1
35,131562,15751,701,13,0
44,36184,12352,421,11,0
58,53787,18516,572,24,0
55,41621,28299,593,18,0
50,95564,36957,697,6,0
51,97984,33927,770,22,0
25,79792,46094,506,14,1
64,65253,41412,409,15,1
34,54051,34493,739,26,0
31,69811,31711,577,7,1
29,50447,13003,781,9,0
54,148046,36707,413,3,1
32,103930,8278,776,18,0
55,143278,12296,620,18,0
55,120037,30398,478,27,1
21,50254,40842,518,20,1
60,104045,18261,827,26,0
42,136859,16173,791,14,0
49,77418,35449,360,13,1
28,134534,46080,353,0,1
31,34472,6637,837,15,0
61,131193,36781,364,9,1
57,23471,18652,470,18,0
34,127332,10103,572,29,0
50,140312,30500,834,21,0
55,143379,39800,690,2,0
41,115804,40529,626,4,0
57,28329,23452,407,8,0
25,54865,36174,461,17,1
39,66850,40436,751,10,0
34,74220,20954,505,15,0
46,132234,22186,315,1,0
24,113808,17356,626,11,0
45,128381,37963,301,21,1
62,26397,7187,309,5,0
45,117909,16707,733,10,0
38,149004,40098,424,26,1
60,55525,31935,380,7,1
28,73072,26225,784,11,0
59,110106,8606,449,28,0
60,103820,37828,639,26,0
34,104530,31489,428,29,1
52,43284,19387,737,1,0
58,81330,8927,800,8,0
53,103369,11296,357,14,0
43,45122,35444,497,1,1
35,90553,7591,510,28,0
53,101906,49895,344,0,1
45,114788,31147,396,9,1
37,82812,43889,578,1,1
53,27999,6200,834,11,0
